id,source_file,source_locator,authority_sha256,observation,adverse_evidence,proposed_smallest_correction,status
SMOOTHING-024,smoothing.tex,smoothing.tex:1206,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The domain A is called separable over the fraction field of R.","Line 1204 introduced K as the fraction field of A; separability is a field-extension property needed by the cited generic-smoothness lemma.","Replace A by K.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-025,smoothing.tex,smoothing.tex:1333,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The phrase reads 'kills of h_n'.","The first map is required to kill h_n.","Delete 'of'.",confirmed_pending_canon_intake_target_prose_naturalized
SMOOTHING-026,smoothing.tex,smoothing.tex:1481,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The proof replaces a_k by a_k b_k.","Since b'_k is the image of b_k/(a_k)^N, the annihilating unit 1+b'_k has numerator (a_k)^N+b_k; b_k lies in I and a_k b_k maps to zero in C.","Replace a_k b_k by (a_k)^N+b_k.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-027,smoothing.tex,smoothing.tex:1491,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The coefficients are indexed h_{i,l}^j and g_{i,l}.","The open and finite subset in this construction are indexed by k, and lines 1488/1492 use h_{k,l}^j and g_{k,l}.","Replace both i indices by k.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-028,smoothing.tex,smoothing.tex:1976,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The quotient ideal ends with x_c.","The presentation and the next quotient use the equations f_1 through f_c; x_c is a variable, not the final generator of this ideal.","Replace x_c by f_c.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-029,smoothing.tex,smoothing.tex:2268-2273,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"After inverting z the source retains y_i and omits the free t_ij variables, then concludes smoothness over R directly.","The relations zy_i force y_i=0 and leave t_ij free, so B_z=C[z,z^{-1},t_ij]. The chosen C is not globally smooth over R, but h_C not contained in q supplies c in H_{C/R} outside q; B_{zc} is smooth. Likewise a_l y_l uses A_{a_l} smooth over R.","Use B_z=C[z,z^{-1},t_ij], choose c in H_{C/R} outside q, and conclude that zc and a_l y_l lie in H_{B/R}.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-030,smoothing.tex,smoothing.tex:2308-2312,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The hypotheses introduce n and e without final punctuation, then the conclusion redeclares existence of n.","The containment hypothesis and the proof use the given n; only the pi_i are to be produced.","End line 2308 with a period and change 'Then there exists an n > 0 and pi_1,...,pi_d' to 'Then there exist pi_1,...,pi_d'.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-031,smoothing.tex,smoothing.tex:2370,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The generators are taken from H_{A/R} immediately after R=k[x_1,...,x_d] is introduced.","There is no map R to A; the active situation is k to A and the argument uses A smooth over k after localizing at these generators.","Replace H_{A/R} by H_{A/k}.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-032,smoothing.tex,smoothing.tex:2374,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The sentence joins 'smooth over R' directly to 'it is a polynomial algebra' without punctuation or connective.","The second clause supplies the reason for the first.","Insert 'because' or equivalent punctuation before the explanatory clause.",confirmed_pending_canon_intake_target_prose_naturalized
SMOOTHING-033,smoothing.tex,smoothing.tex:2379,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The prose refers to the diagram above.","The diagram is introduced at lines 2390-2395, below this sentence.","Replace 'above' by 'below'.",confirmed_pending_canon_intake_target_prose_naturalized
SMOOTHING-034,smoothing.tex,smoothing.tex:2387,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The coefficients are called pi_{ij} after the displayed sum uses lambda_{ij}.","The next line maps z_{ij} to lambda_{ij}; pi_{ij} is otherwise undefined.","Replace pi_{ij} by lambda_{ij}.",confirmed_pending_canon_intake_target_emendation_required
SMOOTHING-035,smoothing.tex,smoothing.tex:2492,FD28CF874BB7DAD3C5C5FF03314D1C83701613A8A98730A99B9CA7A4BCFE6068,"The induction step defines A over F although only F' has been chosen at this stage.","Lines 2483-2487 define A' from F'; F is introduced only later, while the asserted map A to A' requires the same coefficient subfield.","Replace F[x_1,...,x_d] by F'[x_1,...,x_d].",confirmed_pending_canon_intake_target_emendation_applied
