id,work,item,unit_type,parent_id,title_en,summary_en,source_start,source_end,authority_sha256,source_file,source_line,topics
gaga:lemma:2,GAGA,gaga:lemma:2,lemma,gaga,"Lemma 2. --- Let f:X Y be a regular map from an algebraic variety X to an algebraic variety Y , and suppose that f(X) is Z-dense in Y . Then there exist","Lemma 2. --- Let f:X Y be a regular map from an algebraic variety X to an algebraic variety Y , and suppose that f(X) is Z-dense in Y . Then there exist",english_source_aligned_workpass/components/02_associated_analytic_space.tex:109,english_source_aligned_workpass/components/02_associated_analytic_space.tex:109,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,109,
gaga:prop:7,GAGA,gaga:prop:7,proposition,gaga,"Proposition 7. --- If f:X Y is a regular map from an algebraic variety X to an algebraic variety Y , the closure and the Z-closure of f(X) in Y coincid","Proposition 7. --- If f:X Y is a regular map from an algebraic variety X to an algebraic variety Y , the closure and the Z-closure of f(X) in Y coincid",english_source_aligned_workpass/components/02_associated_analytic_space.tex:113,english_source_aligned_workpass/components/02_associated_analytic_space.tex:113,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,113,
gaga:no:8,GAGA,gaga:no:8,numbered_unit,gaga,8. An analytic criterion for regularity,8. An analytic criterion for regularity,english_source_aligned_workpass/components/02_associated_analytic_space.tex:117,english_source_aligned_workpass/components/02_associated_analytic_space.tex:117,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,117,
gaga:prop:8,GAGA,gaga:prop:8,proposition,gaga,"Proposition 8. --- Let X and Y be two algebraic varieties, and let f:X Y be a holomorphic map from X to Y . If the graph T of f is a Z-locally clos","Proposition 8. --- Let X and Y be two algebraic varieties, and let f:X Y be a holomorphic map from X to Y . If the graph T of f is a Z-locally clos",english_source_aligned_workpass/components/02_associated_analytic_space.tex:121,english_source_aligned_workpass/components/02_associated_analytic_space.tex:121,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,121,analytic-space
gaga:prop:9,GAGA,gaga:prop:9,proposition,gaga,"Proposition 9. --- Let T and X be two algebraic varieties, and let p:T X be a bijective regular map. If p is an analytic isomorphism from T onto X ,","Proposition 9. --- Let T and X be two algebraic varieties, and let p:T X be a bijective regular map. If p is an analytic isomorphism from T onto X ,",english_source_aligned_workpass/components/02_associated_analytic_space.tex:125,english_source_aligned_workpass/components/02_associated_analytic_space.tex:125,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,125,
gaga:lemma:3,GAGA,gaga:lemma:3,lemma,gaga,Lemma 3. --- Let A be a commutative ring in which the zero ideal is the intersection of finitely many distinct minimal prime ideals p i . Let K i be the fi,Lemma 3. --- Let A be a commutative ring in which the zero ideal is the intersection of finitely many distinct minimal prime ideals p i . Let K i be the fi,english_source_aligned_workpass/components/02_associated_analytic_space.tex:149,english_source_aligned_workpass/components/02_associated_analytic_space.tex:149,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/02_associated_analytic_space.tex,149,
gaga:section:3,GAGA,gaga:section:3,section,gaga,3. Correspondence between algebraic sheaves and coherent analytic sheaves,3. Correspondence between algebraic sheaves and coherent analytic sheaves,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:1,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:1,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex,1,coherent
gaga:no:9,GAGA,gaga:no:9,numbered_unit,gaga,9. The analytic sheaf associated with an algebraic sheaf,9. The analytic sheaf associated with an algebraic sheaf,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:3,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:3,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex,3,comparison-sheaves
gaga:def:2,GAGA,gaga:def:2,definition,gaga,Definition 2. --- Let F be an algebraic sheaf on X . The analytic sheaf associated with F is the sheaf F h on X h defined by,Definition 2. --- Let F be an algebraic sheaf on X . The analytic sheaf associated with F is the sheaf F h on X h defined by,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:9,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:9,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex,9,analytification;comparison-sheaves
gaga:prop:10,GAGA,gaga:prop:10,proposition,gaga,Proposition 10. --- gaga:prop:10:item:aa) The functor F h is exact.,Proposition 10. --- gaga:prop:10:item:aa) The functor F h is exact.,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:35,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:35,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex,35,flatness
gaga:prop:10:item:a,GAGA,gaga:prop:10:item:a,subitem,gaga:prop:10,a) The functor F h is exact.,a) The functor F h is exact.,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:35,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:35,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex,35,flatness
gaga:prop:10:item:b,GAGA,gaga:prop:10:item:b,subitem,gaga:prop:10,"b) For every algebraic sheaf F , the homomorphism :F'F h is injective.","b) For every algebraic sheaf F , the homomorphism :F'F h is injective.",english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:37,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:37,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex,37,comparison-sheaves
gaga:prop:10:item:c,GAGA,gaga:prop:10:item:c,subitem,gaga:prop:10,"c) If F is a coherent algebraic sheaf, then F h is a coherent analytic sheaf.","c) If F is a coherent algebraic sheaf, then F h is a coherent analytic sheaf.",english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:39,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:39,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex,39,coherent;comparison-sheaves
gaga:no:10,GAGA,gaga:no:10,numbered_unit,gaga,10. Extension of a sheaf,10. Extension of a sheaf,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:67,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:67,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex,67,
gaga:prop:11,GAGA,gaga:prop:11,proposition,gaga,Proposition 11. --- The sheaves (F h) X and (F X) h are canonically isomorphic.,Proposition 11. --- The sheaves (F h) X and (F X) h are canonically isomorphic.,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:71,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:71,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex,71,
gaga:no:11,GAGA,gaga:no:11,numbered_unit,gaga,11. Homomorphisms induced on cohomology,11. Homomorphisms induced on cohomology,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:100,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:100,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex,100,comparison-cohomology
gaga:no:12,GAGA,gaga:no:12,numbered_unit,gaga,12. Projective varieties. Statement of the theorems,12. Projective varieties. Statement of the theorems,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:159,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:159,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex,159,proper-projective
gaga:thm:1,GAGA,gaga:thm:1,theorem,gaga,"Theorem 1. --- For every coherent algebraic sheaf F on X and every integer q0 , the homomorphism","Theorem 1. --- For every coherent algebraic sheaf F on X and every integer q0 , the homomorphism",english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:163,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:163,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex,163,comparison-cohomology;comparison-sheaves
gaga:thm:2,GAGA,gaga:thm:2,theorem,gaga,"Theorem 2. --- If F and G are two coherent algebraic sheaves on X , every analytic homomorphism from F h to G h arises from one and only one algebraic","Theorem 2. --- If F and G are two coherent algebraic sheaves on X , every analytic homomorphism from F h to G h arises from one and only one algebraic",english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:175,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:175,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex,175,comparison-sheaves
gaga:thm:3,GAGA,gaga:thm:3,theorem,gaga,"Theorem 3. --- For every coherent analytic sheaf M on X h , there exists a coherent algebraic sheaf F on X such that F h is isomorphic to M . Moreover","Theorem 3. --- For every coherent analytic sheaf M on X h , there exists a coherent algebraic sheaf F on X such that F h is isomorphic to M . Moreover",english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:177,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex:177,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/03_sheaf_correspondence_nos09_12.tex,177,analytification;coherent;comparison-sheaves
gaga:no:13,GAGA,gaga:no:13,numbered_unit,gaga,13. Proof of Theorem 1,13. Proof of Theorem 1,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:1,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:1,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex,1,comparison-cohomology
gaga:lemma:4,GAGA,gaga:lemma:4,lemma,gaga,Lemma 4. --- Theorem [gaga:thm:1]1 is true for the sheaf O .,Lemma 4. --- Theorem [gaga:thm:1]1 is true for the sheaf O .,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:24,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:24,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex,24,
gaga:lemma:5,GAGA,gaga:lemma:5,lemma,gaga,Lemma 5. --- Theorem [gaga:thm:1]1 is true for the sheaf O(n) .,Lemma 5. --- Theorem [gaga:thm:1]1 is true for the sheaf O(n) .,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:28,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:28,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex,28,
gaga:no:14,GAGA,gaga:no:14,numbered_unit,gaga,14. Proof of Theorem 2,14. Proof of Theorem 2,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:105,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:105,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex,105,comparison-sheaves
gaga:lemma:6,GAGA,gaga:lemma:6,lemma,gaga,Lemma 6. --- The homomorphism :A hB is bijective.,Lemma 6. --- The homomorphism :A hB is bijective.,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:119,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:119,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex,119,
gaga:no:15,GAGA,gaga:no:15,numbered_unit,gaga,15. Proof of Theorem 3. Preliminaries,15. Proof of Theorem 3. Preliminaries,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:166,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:166,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex,166,comparison-sheaves
gaga:no:16,GAGA,gaga:no:16,numbered_unit,gaga,exorpdfstring 16. Proof of Theorem 3. The sheaves M (n) 16. Proof of Theorem 3. The sheaves M(n),exorpdfstring 16. Proof of Theorem 3. The sheaves M (n) 16. Proof of Theorem 3. The sheaves M(n),english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:188,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:188,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex,188,comparison-sheaves
gaga:lemma:7,GAGA,gaga:lemma:7,lemma,gaga,"Lemma 7. --- Let E be a hyperplane in P r(C) , and let A be a coherent analytic sheaf on E . Then H q(E h,A(n))=0 for q>0 and all sufficiently large","Lemma 7. --- Let E be a hyperplane in P r(C) , and let A be a coherent analytic sheaf on E . Then H q(E h,A(n))=0 for q>0 and all sufficiently large",english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:202,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:202,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex,202,coherent;comparison-cohomology;comparison-sheaves
gaga:lemma:8,GAGA,gaga:lemma:8,lemma,gaga,"Lemma 8. --- Let M be a coherent analytic sheaf on X=P r(C) . There is an integer n(M) such that, for every n n(M) and every x X , the H x -module M(n","Lemma 8. --- Let M be a coherent analytic sheaf on X=P r(C) . There is an integer n(M) such that, for every n n(M) and every x X , the H x -module M(n",english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:208,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:208,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex,208,coherent;comparison-sheaves
gaga:eq:1,GAGA,gaga:eq:1,equation,gaga,gaga eq 1,gaga eq 1,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:240,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex:240,9898F985DD6932496E26450BFE0BECA8655A937032F545B97CEBD88D1BC8EB98,english_source_aligned_workpass/components/04_proofs_theorems1_3_nos13_17.tex,240,
