canonical_defect_id,authority_sha256,source_file,source_locator,lease,classification,exact_source,proposed_correction,target_locator,disposition,rationale
SITES-COHOMOLOGY-024,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:2625-2626,A,spurious_punctuation,"Lemma \ref{lemma-cech-vanish-collection}. are satisfied","Lemma \ref{lemma-cech-vanish-collection} are satisfied",sites-cohomology.part-a.fr.tex:2598-2600,corrected_in_translation,"The period separates the grammatical subject from its verb; French restores the continuous sentence."
SITES-COHOMOLOGY-025,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:2733,A,missing_parenthesis,"$S_n \subset \Ob(\Sh(\mathcal{C}/K^n)$","$S_n \subset \Ob(\Sh(\mathcal{C}/K^n))$",sites-cohomology.part-a.fr.tex:2702,corrected_in_translation,"The Ob(Sh(...)) expression is missing its closing parenthesis."
SITES-COHOMOLOGY-026,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:2749,A,prose_typo,"this is possibly by assumption (3)","this is possible by assumption (3)",sites-cohomology.part-a.fr.tex:2717,corrected_in_translation,"The intended adjective is possible, not the adverb possibly."
SITES-COHOMOLOGY-027,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:3145,A,wrong_tensor_base,"H^p(\mathcal{L}^\bullet \otimes_R \mathcal{K}^q)","H^p(\mathcal{L}^\bullet \otimes_\mathcal{O} \mathcal{K}^q)",sites-cohomology.part-a.fr.tex:3109,corrected_in_translation,"R is undefined here; both complexes are O-modules and all adjacent tensor products are over O."
SITES-COHOMOLOGY-029,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,"sites-cohomology.tex:3549;sites-cohomology.tex:3579",B,wrong_boundedness,"bounded below complexes of flat modules","bounded above complexes of flat modules","sites-cohomology.part-b.fr.tex:57;sites-cohomology.part-b.fr.tex:87",corrected_in_translation,"The K_n complexes are explicitly bounded above at line 3530, and the kernels M_n of maps between the displayed bounded-above complexes are bounded above; the two later below occurrences reverse that property."
SITES-COHOMOLOGY-030,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:5534,B,prose_missing_preposition,"is the inverse limit the sections","is the inverse limit of the sections",sites-cohomology.part-b.fr.tex:2027,corrected_in_translation,"The inverse limit takes the sections as its complement; the preposition of is missing."
SITES-COHOMOLOGY-031,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:5555,B,prose_missing_infinitive_marker,"we can use ... produce a diagram","we can use ... to produce a diagram",sites-cohomology.part-b.fr.tex:2045-2048,corrected_in_translation,"The English construction requires to before produce; the French target is grammatical."
SITES-COHOMOLOGY-032,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:5587,B,sentence_fragment,"In the situation described above. Denote","In the situation described above, denote",sites-cohomology.part-b.fr.tex:2080,corrected_in_translation,"The period leaves a sentence fragment and disconnects the introductory phrase from its finite verb."
SITES-COHOMOLOGY-033,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:5597,B,wrong_formula_punctuation,"H^p(U. \mathcal{H}^{m - p})","H^p(U, \mathcal{H}^{m - p})",sites-cohomology.part-b.fr.tex:2090,corrected_in_translation,"The cohomology arguments require a comma; the period makes the formula malformed."
SITES-COHOMOLOGY-034,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:6011,B,prose_missing_verb,"Thus a canonical map","Thus we obtain a canonical map",sites-cohomology.part-b.fr.tex:2502,corrected_in_translation,"The English clause lacks a finite verb; the surrounding construction canonically produces the displayed map."
SITES-COHOMOLOGY-035,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:6626,B,missing_prime,"\epsilon^*\mathcal{F}_2","\epsilon^*\mathcal{F}'_2",sites-cohomology.part-b.fr.tex:3108,corrected_in_translation,"The exact sequence and every adjacent term are indexed F'_0 through F'_4; the unprimed F_2 is not the middle term under discussion."
SITES-COHOMOLOGY-036,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:6750,B,duplicate_article,"is a a tau-sheaf","is a tau-sheaf",sites-cohomology.part-b.fr.tex:3231,corrected_in_translation,"The repeated English article is typographical and is absent from the French sentence."
SITES-COHOMOLOGY-037,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:6781,B,prose_missing_infinitive_marker,"urge the reader skip the proof","urge the reader to skip the proof",sites-cohomology.part-b.fr.tex:3260-3261,corrected_in_translation,"The English verb urge requires to before the infinitive; French uses the corresponding grammatical construction."
