defect_id,lease,local_id,authority_file,authority_sha256,source_locator,classification,exact_source,proposed_correction,target_file,target_locator,disposition,rationale,source_packet,source_packet_sha256
SITES-MODULES-CH18-017,C,SITES-MODULES-C-D003,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:5654,wrong_free_rank_in_hom_diagram,f^*\mathcal{G}^{\oplus n},f^*\mathcal{G}^{\oplus m},,sites-modules.part-c.fr.tex:1536,emended_in_french,The lower row represents the same Hom sequence and must end in G^m.,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
SITES-MODULES-CH18-018,C,SITES-MODULES-C-D008,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6157,duplicated_Leibniz_summand,\text{d}f_2 \otimes f_1 + \text{d}f_2 \otimes f_1 = 0,\text{d}f_2 \otimes f_1 + \text{d}f_1 \otimes f_2 = 0,,sites-modules.part-c.fr.tex:2103,emended_in_french,The Leibniz expansion has the two symmetric terms d f_2 tensor f_1 and d f_1 tensor f_2.,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
SITES-MODULES-CH18-019,C,SITES-MODULES-C-D012,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6202,missing_copula,Assume $\mathcal{F}$ an ideal sheaf,Suppose that $\mathcal{F}$ is an ideal sheaf,,sites-modules.part-c.fr.tex:2147,translated_with_grammar_repair,The English source omits the copula; the French sentence states the intended square-zero ideal hypothesis without changing mathematics.,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
SITES-MODULES-CH18-020,C,SITES-MODULES-C-D009,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6207,wrong_codomain_for_section,$s : \mathcal{O}_2 \to \mathcal{F}$,$s : \mathcal{O}_2 \to \mathcal{A}$,,sites-modules.part-c.fr.tex:2152,emended_in_french,"A section of pi : A -> O_2 has codomain A, as lines 6205-6206 already state.",p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
SITES-MODULES-CH18-021,C,SITES-MODULES-C-D010,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6208,wrong_domain_for_derivation,$D : \mathcal{O}_1 \to \mathcal{F}$,$D : \mathcal{O}_2 \to \mathcal{F}$,,sites-modules.part-c.fr.tex:2153,emended_in_french,A phi-derivation for phi : O_1 -> O_2 has domain O_2.,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
SITES-MODULES-CH18-022,C,SITES-MODULES-C-D011,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6211,wrong_domain_for_sum_section,s + D : \mathcal{O}_1 \to \mathcal{A},s + D : \mathcal{O}_2 \to \mathcal{A},,sites-modules.part-c.fr.tex:2155,emended_in_french,"The section s and derivation D have common domain O_2, and their sum is another section of pi.",p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
SITES-MODULES-CH18-023,C,SITES-MODULES-C-D013,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6321,ill_typed_functoriality_equation,c_f \circ f^*t = f^*\text{d}_{X/Y}(t),c_f \circ f^*\text{d}_{X/Y}(t) = \text{d}_{X'/Y'}(f^*t),,sites-modules.part-c.fr.tex:2279,emended_in_french,The source equation is ill-typed; this correction exactly expresses the lemma's preceding characterization.,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
SITES-MODULES-CH18-024,D,SITES-MODULES-001,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6354,typographical,is an is an $\mathcal{O}_1$-linear map,is an $\mathcal{O}_1$-linear map,,,normalized_in_translation,Duplicated words in the definition of a differential operator.,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
SITES-MODULES-CH18-025,D,SITES-MODULES-002,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6655,grammatical,a sheaves of sets,a sheaf of sets,,,normalized_in_translation,Number-agreement error; the variable E is a single sheaf.,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
SITES-MODULES-CH18-026,D,SITES-MODULES-003,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6755,grammatical,be morphism of topoi,be a morphism of topoi,,,normalized_in_translation,Missing indefinite article.,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
SITES-MODULES-CH18-027,D,SITES-MODULES-004,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:7287,mathematical,$\phi : U \to u(V)$ of $\mathcal{D}$,$\phi : U \to u(V)$ of $\mathcal{C}$,,,source_preserved_pending_canon,U and u(V) are objects of C because u:D→C; the displayed morphism cannot be a morphism of D. The strict French v3 target presently preserves the authority token pending canon disposition.,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
SITES-MODULES-CH18-028,D,SITES-MODULES-005,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:7308,mathematical,"$B_i \circ (f''_1, \ldots, f''_n)|_{V_i} = 0$.","$B''_i \circ (f''_1, \ldots, f''_n)|_{V_i} = 0$.",,,emended_in_french,B''_i is the just-defined matrix on V_i; B_i is introduced only on the next line after pullback to U_i.,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
SITES-MODULES-CH18-029,D,SITES-MODULES-006,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:7802,typographical,"(\Sh(\mathcal{C}, \mathcal{O})","(\Sh(\mathcal{C}), \mathcal{O})",,,emended_in_french,"The closing parenthesis of Sh(C) is misplaced, corrupting the ringed-topos pair.",p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
SITES-MODULES-CH18-030,D,SITES-MODULES-007,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:7967,mathematical,$\Sh(\mathcal{C})/\mathcal{F}$,$\Sh(\mathcal{C}/U)$,,,emended_in_french,"The proof is treating item (3), where U is defined and F is not; the restriction is to the localized site topos Sh(C/U).",p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
SITES-MODULES-CH18-031,D,SITES-MODULES-008,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:8033,grammatical,a similar formula holds a direct sum,a similar formula holds for a direct sum,,,normalized_in_translation,Missing preposition.,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
SITES-MODULES-CH18-032,D,SITES-MODULES-009,sites-modules.tex,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:8745,grammatical,has an left adjoint,has a left adjoint,,,normalized_in_translation,Incorrect indefinite article.,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
