lease,local_id,canonical_id,canonical_operation_id,authority_sha256,source_locator,record_kind,source_packet,packet_sha256
B,SITES-MODULES-B-D005,SITES-MODULES-CH18-007,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:2823,defect,p03/evidence/SITES_MODULES_B_SOURCE_DEFECT_LEDGER.csv,D93C18BBAEF0AD6B060F4E004267551F2F836FD7018897324AEAC64555E81E3A
B,SITES-MODULES-B-D006,SITES-MODULES-CH18-008,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:2872,defect,p03/evidence/SITES_MODULES_B_SOURCE_DEFECT_LEDGER.csv,D93C18BBAEF0AD6B060F4E004267551F2F836FD7018897324AEAC64555E81E3A
B,SITES-MODULES-B-D001,SITES-MODULES-CH18-009,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:2962,defect,p03/evidence/SITES_MODULES_B_SOURCE_DEFECT_LEDGER.csv,D93C18BBAEF0AD6B060F4E004267551F2F836FD7018897324AEAC64555E81E3A
B,SITES-MODULES-B-D007,SITES-MODULES-CH18-010,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:4101,defect,p03/evidence/SITES_MODULES_B_SOURCE_DEFECT_LEDGER.csv,D93C18BBAEF0AD6B060F4E004267551F2F836FD7018897324AEAC64555E81E3A
C,SITES-MODULES-C-D004,SITES-MODULES-CH18-011,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:4624,defect,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
C,SITES-MODULES-C-E004,SITES-MODULES-CH18-011,SITES-MODULES-CH18-011,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:4624,emendation_operation,p03/evidence/SITES_MODULES_C_SOURCE_EMENDATIONS.json,CF13BDB803F1C41E6E97D0FF865B2E65814EBFFBFA3CD2C94AD3505455A05D29
C,SITES-MODULES-C-D005,SITES-MODULES-CH18-012,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:4711,defect,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
C,SITES-MODULES-C-E005,SITES-MODULES-CH18-012,SITES-MODULES-CH18-012,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:4711,emendation_operation,p03/evidence/SITES_MODULES_C_SOURCE_EMENDATIONS.json,CF13BDB803F1C41E6E97D0FF865B2E65814EBFFBFA3CD2C94AD3505455A05D29
C,SITES-MODULES-C-D006,SITES-MODULES-CH18-013,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:4720,defect,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
C,SITES-MODULES-C-E006,SITES-MODULES-CH18-013,SITES-MODULES-CH18-013,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:4720,emendation_operation,p03/evidence/SITES_MODULES_C_SOURCE_EMENDATIONS.json,CF13BDB803F1C41E6E97D0FF865B2E65814EBFFBFA3CD2C94AD3505455A05D29
C,SITES-MODULES-C-D007,SITES-MODULES-CH18-014,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:4723,defect,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
C,SITES-MODULES-C-E007,SITES-MODULES-CH18-014,SITES-MODULES-CH18-014,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:4723,emendation_operation,p03/evidence/SITES_MODULES_C_SOURCE_EMENDATIONS.json,CF13BDB803F1C41E6E97D0FF865B2E65814EBFFBFA3CD2C94AD3505455A05D29
C,SITES-MODULES-C-D001,SITES-MODULES-CH18-015,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:5616,defect,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
C,SITES-MODULES-C-E001,SITES-MODULES-CH18-015,SITES-MODULES-CH18-015,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:5616,emendation_operation,p03/evidence/SITES_MODULES_C_SOURCE_EMENDATIONS.json,CF13BDB803F1C41E6E97D0FF865B2E65814EBFFBFA3CD2C94AD3505455A05D29
C,SITES-MODULES-C-D002,SITES-MODULES-CH18-016,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:5649,defect,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
C,SITES-MODULES-C-E002,SITES-MODULES-CH18-016,SITES-MODULES-CH18-016,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:5649,emendation_operation,p03/evidence/SITES_MODULES_C_SOURCE_EMENDATIONS.json,CF13BDB803F1C41E6E97D0FF865B2E65814EBFFBFA3CD2C94AD3505455A05D29
C,SITES-MODULES-C-D003,SITES-MODULES-CH18-017,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:5654,defect,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
C,SITES-MODULES-C-E003,SITES-MODULES-CH18-017,SITES-MODULES-CH18-017,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:5654,emendation_operation,p03/evidence/SITES_MODULES_C_SOURCE_EMENDATIONS.json,CF13BDB803F1C41E6E97D0FF865B2E65814EBFFBFA3CD2C94AD3505455A05D29
C,SITES-MODULES-C-D008,SITES-MODULES-CH18-018,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6157,defect,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
C,SITES-MODULES-C-E008,SITES-MODULES-CH18-018,SITES-MODULES-CH18-018,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6157,emendation_operation,p03/evidence/SITES_MODULES_C_SOURCE_EMENDATIONS.json,CF13BDB803F1C41E6E97D0FF865B2E65814EBFFBFA3CD2C94AD3505455A05D29
C,SITES-MODULES-C-D012,SITES-MODULES-CH18-019,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6202,defect,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
C,SITES-MODULES-C-D009,SITES-MODULES-CH18-020,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6207,defect,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
C,SITES-MODULES-C-E009,SITES-MODULES-CH18-020,SITES-MODULES-CH18-020,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6207,emendation_operation,p03/evidence/SITES_MODULES_C_SOURCE_EMENDATIONS.json,CF13BDB803F1C41E6E97D0FF865B2E65814EBFFBFA3CD2C94AD3505455A05D29
C,SITES-MODULES-C-D010,SITES-MODULES-CH18-021,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6208,defect,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
C,SITES-MODULES-C-E010,SITES-MODULES-CH18-021,SITES-MODULES-CH18-021,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6208,emendation_operation,p03/evidence/SITES_MODULES_C_SOURCE_EMENDATIONS.json,CF13BDB803F1C41E6E97D0FF865B2E65814EBFFBFA3CD2C94AD3505455A05D29
C,SITES-MODULES-C-D011,SITES-MODULES-CH18-022,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6211,defect,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
C,SITES-MODULES-C-E011,SITES-MODULES-CH18-022,SITES-MODULES-CH18-022,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6211,emendation_operation,p03/evidence/SITES_MODULES_C_SOURCE_EMENDATIONS.json,CF13BDB803F1C41E6E97D0FF865B2E65814EBFFBFA3CD2C94AD3505455A05D29
C,SITES-MODULES-C-D013,SITES-MODULES-CH18-023,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6321,defect,p03/evidence/SITES_MODULES_C_SOURCE_DEFECT_LEDGER.csv,04A3514FD6ED9EFFE4AFD35197E7BCFA1DBCB20831FCD865B6574B4625A22F1A
C,SITES-MODULES-C-E012,SITES-MODULES-CH18-023,SITES-MODULES-CH18-023,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6321,emendation_operation,p03/evidence/SITES_MODULES_C_SOURCE_EMENDATIONS.json,CF13BDB803F1C41E6E97D0FF865B2E65814EBFFBFA3CD2C94AD3505455A05D29
D,SITES-MODULES-001,SITES-MODULES-CH18-024,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6354,defect,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
D,SITES-MODULES-002,SITES-MODULES-CH18-025,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6655,defect,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
D,SITES-MODULES-003,SITES-MODULES-CH18-026,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:6755,defect,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
D,SITES-MODULES-004,SITES-MODULES-CH18-027,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:7287,defect,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
D,SITES-MODULES-005,SITES-MODULES-CH18-028,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:7308,defect,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
D,SITES-MODULES-005,SITES-MODULES-CH18-028,SITES-MODULES-CH18-028,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:7308,emendation_operation,p03/evidence/SITES_MODULES_D_SOURCE_EMENDATIONS.json,048104FCC94F539D4A59EAEBCF0A096F8C36E6C4939C9CC4AF3D8D08819CFB1D
D,SITES-MODULES-006,SITES-MODULES-CH18-029,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:7802,defect,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
D,SITES-MODULES-006,SITES-MODULES-CH18-029,SITES-MODULES-CH18-029,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:7802,emendation_operation,p03/evidence/SITES_MODULES_D_SOURCE_EMENDATIONS.json,048104FCC94F539D4A59EAEBCF0A096F8C36E6C4939C9CC4AF3D8D08819CFB1D
D,SITES-MODULES-007,SITES-MODULES-CH18-030,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:7967,defect,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
D,SITES-MODULES-007,SITES-MODULES-CH18-030,SITES-MODULES-CH18-030,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:7967,emendation_operation,p03/evidence/SITES_MODULES_D_SOURCE_EMENDATIONS.json,048104FCC94F539D4A59EAEBCF0A096F8C36E6C4939C9CC4AF3D8D08819CFB1D
D,SITES-MODULES-008,SITES-MODULES-CH18-031,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:8033,defect,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
D,SITES-MODULES-009,SITES-MODULES-CH18-032,,B7CD92AFF9DF33F05EEAB72C4B55E8AA33F3AEBD947FC53160E87CA80DFFB245,sites-modules.tex:8745,defect,p03/evidence/SITES_MODULES_D_SOURCE_DEFECTS.csv,DB808D9F6AE78AA14191A50BEAB51A7F572722B5061C850A839BA47077F3DB6F
