topic_id,label,coverage,confidence,evidence_labels,evidence_tags,rationale,review_state
hilbert-scheme,Hilbert scheme,direct,high,pic-section-hilbert-scheme-points;quot-section-hilb;moduli-proposition-divisors-projective-flat;moduli-proposition-hilbert-symmetric-product;moduli-proposition-hilbert-chow-smooth-curves,0B94;0CZX,Representability and points are present together with fixed-polynomial divisor opens the Hilbert-to-symmetric-product comparison and the smooth-curve isomorphism.,topic_scope_reviewed
zero-cycles,Effective zero cycles,direct,high,moduli-section-zero-cycles;moduli-theorem-divided-power-zero-cycles,,Effective relative zero cycles are represented by divided powers with arbitrary base change.,topic_scope_reviewed
divided-powers,Divided powers,direct,high,moduli-theorem-divided-power-zero-cycles,,The divided-power space represents effective relative zero cycles.,topic_scope_reviewed
symmetric-products,Symmetric products,direct,high,moduli-theorem-divided-power-zero-cycles;moduli-remark-norm-symmetric-morphism,,The symmetric product comparison and its flat-case operation law are explicit.,topic_scope_reviewed
norm-map,Grothendieck--Deligne norm,direct,high,moduli-proposition-grothendieck-deligne-norm;moduli-remark-norm-symmetric-morphism,,Finite-support quotients carry the determinant norm cycle and flat targets admit the classical symmetric-product refinement.,topic_scope_reviewed
picard-functor,Picard functor,direct,high,quot-section-picard-functor;moduli-section-picard-functor;moduli-corollary-divisor-to-picard-projective;moduli-lemma-positive-picard-open;moduli-proposition-picard-stein-restriction;moduli-proposition-picard-closed-union-affine;moduli-proposition-picard-nilpotent-thickening-affine;pic-section-picard-functor;pic-remark-picard-stack-presheaf-sheaf,0D24;0DMD;0B9K,The fppf sheafification definition divisor construction and the three reduction morphisms are explicit without conflating them with the historical restricted presheaf.,topic_scope_reviewed
picard-stack,Picard stack,direct,high,quot-section-picard-stack;quot-lemma-pic-over-pic;pic-remark-picard-stack-presheaf-sheaf,0D02;0D26,The stack retains line bundles and their isomorphisms while the Picard functor is the sheafification of fibrewise isomorphism classes.,topic_scope_reviewed
picard-scheme,Picard scheme,direct,high,moduli-remark-classical-projective-picard-theorem;moduli-remark-classical-positive-divisor-quotient;moduli-remark-corrected-picard-existence-boundary;moduli-corollary-picard-projective-field;moduli-theorem-picard-proper-field;pic-section-picard-curve;pic-section-representability,0B9R;0B9P,The classical relative construction and the corrected projective-field and proper-field existence theorems are explicit together with the boundary between schemes and algebraic spaces.,topic_scope_reviewed
positive-picard-locus,Positive Picard locus,direct,high,moduli-lemma-positive-picard-open;moduli-lemma-positive-divisor-cover,,The cohomologically positive Picard locus is open base-change compatible covered by positive divisors and its translates cover the Picard space.,topic_scope_reviewed
cartier-divisor,Cartier divisor,direct,high,divisors-lemma-relative-Cartier;moduli-section-relative-effective-Cartier-divisors;moduli-lemma-divisors-open-in-hilbert;chow-section-relative-effective-cartier,056Q;02TP,Relative effective Cartier divisors and their moduli as an open Hilbert locus are developed directly.,topic_scope_reviewed
divisor-functor,Relative divisor functor,direct,high,moduli-section-relative-effective-Cartier-divisors;moduli-proposition-divisors-projective-flat,,The relative effective Cartier divisor functor is represented by the open Cartier locus in the Hilbert functor.,topic_scope_reviewed
abel-map,Abel map,direct,high,moduli-equation-divisor-to-picard;moduli-corollary-divisor-to-picard-projective;moduli-lemma-positive-divisor-cover,,The divisor-to-Picard Abel transformation its projective representability and its smooth positive-locus cover are explicit.,topic_scope_reviewed
complete-linear-system,Complete linear system,direct,high,moduli-theorem-complete-linear-system;moduli-remark-complete-linear-system-base-change,,Complete linear systems are represented by projectivizations of the universal coherent module of sections with the exact base-change criterion recorded.,topic_scope_reviewed
projective-bundle,Projective bundle,direct,high,constructions-definition-projective-bundle;moduli-theorem-complete-linear-system,01OB,Projective bundles represent invertible quotients and hence the complete-linear-system fibres of the Abel map.,topic_scope_reviewed
invertible-module,Invertible module,direct,high,modules-section-invertible;cohomology-section-invertible-sheaves,01CR;09NT,Invertible modules and their cohomological classification are present.,topic_scope_reviewed
poincare-bundle,Poincare bundle,direct,high,moduli-theorem-dual-abelian-scheme;moduli-proposition-maps-to-abelian-torsors;moduli-equation-obstruction-lift-poincare,,The normalized Poincare module its biextension use in maps to abelian torsors and its deformation obstruction are now treated explicitly.,topic_scope_reviewed
albanese,Albanese,direct,high,moduli-section-canonical-abelian-picard-albanese;moduli-theorem-relative-albanese-torsor,,The relative Albanese scheme torsor map universal property and arbitrary-base-change compatibility are integrated explicitly.,topic_scope_reviewed
abelian-scheme,Abelian scheme,direct,high,examples-definition-abelian-scheme;groupoids-section-abelian-varieties,0BF9,Abelian schemes are defined and their geometric fibres are related to abelian varieties.,topic_scope_reviewed
neron-severi,Neron-Severi,direct,high,bootstrap-remark-component-group-picard-scheme;moduli-remark-picard-locally-projective-components;moduli-remark-picard-formal-neighbourhoods-lefschetz;moduli-theorem-picard-neron-severi-uniform-bounds;moduli-lemma-picard-boundedness-finite-curves,,The component quotient now has the supplement's finite-generation uniform-rank uniform-torsion and finite curve-detection theorems in addition to the prior geometric examples.,topic_scope_reviewed
hilbert-polynomial,Hilbert polynomial,direct,high,varieties-subsection-hilbert,08A9,Hilbert polynomials have a dedicated subsection.,topic_scope_reviewed
flatness,Flatness,broad,high,morphisms-section-flat,01U2,Flat morphisms and many refinements are developed throughout the project.,topic_scope_reviewed
properness,Properness,broad,high,morphisms-section-proper,01W0,Proper morphisms and their criteria are developed directly.,topic_scope_reviewed
smoothness,Smoothness,broad,high,morphisms-section-smooth,01V4,Smooth morphisms and their criteria are developed directly.,topic_scope_reviewed
separatedness,Separatedness,broad,high,schemes-section-valuative-separatedness,01KY,Separatedness and its valuative criterion are explicit.,topic_scope_reviewed
projectivity,Projectivity,broad,high,morphisms-section-projective,01W7,Projective morphisms have a dedicated section.,topic_scope_reviewed
quasi-projectivity,Quasi-projectivity,broad,high,morphisms-section-quasi-projective,01VV,Quasi-projective morphisms have a dedicated section.,topic_scope_reviewed
ampleness,Ampleness,broad,high,properties-section-ample;morphisms-section-relatively-ample,01PR;01VG,Absolute and relative ampleness are developed directly.,topic_scope_reviewed
finite-type,Finite type,broad,high,morphisms-section-finite-type,01T0,Finite-type morphisms are basic project infrastructure.,topic_scope_reviewed
connected-component,Connected component,direct,high,more-morphisms-section-connected;topology-section-connected-components,055C;004R,Topological and fibrewise connected components are explicit.,topic_scope_reviewed
group-scheme,Group scheme,direct,high,groupoids-section-group-schemes;groupoids-section-properties-group-schemes-field,022R;047J,Group schemes and their fieldwise properties are explicit.,topic_scope_reviewed
etale,Etale,broad,high,morphisms-section-etale;pione-section-finite-etale,02GH;0BL6,Etale and finite etale morphisms are developed directly.,topic_scope_reviewed
fundamental-group,Fundamental group,direct,high,pione-section-fundamental-groups,0BQ8,The etale fundamental group has a dedicated section.,topic_scope_reviewed
galois-cover,Galois cover,direct,high,pione-section-finite-etale-under-galois,03SF,Galois covers of connected schemes are explicit.,topic_scope_reviewed
tame-ramification,Tame ramification,direct,high,pione-section-tame,0BSE,Tame ramification has a dedicated section.,topic_scope_reviewed
frobenius-radicial,Frobenius and radicial morphisms,broad,high,morphisms-section-radicial;varieties-section-frobenius,01S2;0CC6,Radicial morphisms and Frobenius are treated in separate sections.,topic_scope_reviewed
normality,Normality,broad,high,properties-section-normal;more-morphisms-section-normal,033H;038Z,Normal schemes and normal morphisms are explicit.,topic_scope_reviewed
serre-s2,Serre S2,direct,high,properties-section-Rk,033P,Serre conditions are defined uniformly and include S2.,topic_scope_reviewed
boundedness,Boundedness,direct,high,varieties-subsection-boundedness;moduli-section-quot-bounded,08AF;0DP9,Bounded quotients and moduli boundedness are explicit.,topic_scope_reviewed
numerical-equivalence,Numerical equivalence,direct,high,varieties-section-num;moduli-lemma-picard-boundedness-finite-curves;moduli-theorem-picard-tau-numerical-criteria;moduli-theorem-picard-tau-open-closed-integral,0BEL,The supplement now identifies tau-equivalence with Euler-characteristic curve-degree ampleness and Hilbert-polynomial criteria and proves the corresponding relative locus open and closed.,topic_scope_reviewed
algebraic-equivalence,Algebraic equivalence,partial,high,moduli-definition-canonical-abelian-picard-subscheme;moduli-theorem-dual-abelian-scheme;bootstrap-remark-component-group-picard-scheme,,Algebraically trivial line bundles are identified through the connected Picard and dual-abelian constructions but a standalone general theory of algebraic equivalence is not yet present.,topic_scope_reviewed
torsion-equivalence,Torsion and equivalence,direct,high,moduli-theorem-picard-torsion-components-finite-type;moduli-theorem-picard-tau-numerical-criteria;moduli-theorem-picard-tau-open-closed-integral,,The torsion-component locus and tau-equivalence are treated directly through finite type numerical criteria and the relative open-and-closed theorem.,topic_scope_reviewed
euler-characteristic,Euler characteristic,direct,high,varieties-section-euler;spaces-over-fields-section-euler,0BEI;0DN0,Euler characteristics are defined for schemes and spaces over fields.,topic_scope_reviewed
base-change,Base change,broad,high,coherent-section-cohomology-and-base-change;duality-section-base-change-map;moduli-lemma-positive-picard-open,02KE;0AA5,The cohomology and duality maps and the base-change-stable positive Picard locus have dedicated treatments.,topic_scope_reviewed
formal-functions,Formal functions,direct,high,coherent-section-theorem-formal-functions;algebraization-section-formal-functions,02O7;0A0H,The theorem on formal functions appears in two dedicated treatments.,topic_scope_reviewed
cohomology,Cohomology,broad,high,cohomology-section-cech-cohomology-cohomology,01EO,General sheaf cohomology and many geometric specializations are present.,topic_scope_reviewed
stein-factorization,Stein factorization,direct,high,spaces-more-morphisms-theorem-stein-factorization-general;spaces-more-morphisms-lemma-stein-factorization-etale;moduli-proposition-picard-stein-restriction,0A1C;0E0D,The general and geometrically reduced Stein factorizations feed directly into the Picard restriction-of-scalars reduction.,topic_scope_reviewed
nilpotent-thickening,Nilpotent thickening,direct,high,more-morphisms-section-picard-group-thickening;moduli-proposition-picard-nilpotent-thickening-affine,0C6Q,The first-order Picard sequence and the relative affine Picard morphism treat nilpotent thickenings explicitly.,topic_scope_reviewed
picard-descent,Picard descent,direct,high,moduli-proposition-picard-closed-union-affine;moduli-theorem-picard-pullback-proper-surjective-affine,,Closed-union gluing and proper-surjective nonflat descent are collected as affine comparison morphisms.,topic_scope_reviewed
lefschetz-picard,Lefschetz for Picard,direct,high,algebraization-section-lefschetz;algebraization-proposition-lefschetz-equivalence;moduli-remark-picard-formal-neighbourhoods-lefschetz,0EL0;0EL7,Formal coherent Lefschetz theory is connected to stabilization of Picard spaces on infinitesimal hyperplane neighbourhoods.,topic_scope_reviewed
