id,work,item,unit_type,parent_id,title_en,summary_en,source_start,source_end,authority_sha256,source_file,source_line,topics
fac:I:1:no:6,FAC,6,numbered_paragraph,fac:I:1,6. Sheaves of rings and sheaves of modules.,6. Sheaves of rings and sheaves of modules.,components/005_I_1_6_sheaves_of_rings_and_modules.tex:6,components/005_I_1_6_sheaves_of_rings_and_modules.tex:6,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/005_I_1_6_sheaves_of_rings_and_modules.tex,6,sheaf-modules
fac:I:1:no:7,FAC,7,numbered_paragraph,fac:I:1,7. Subsheaf and quotient sheaf.,7. Subsheaf and quotient sheaf.,components/006_I_1_7_subsheaf_and_quotient_sheaf.tex:6,components/006_I_1_7_subsheaf_and_quotient_sheaf.tex:6,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/006_I_1_7_subsheaf_and_quotient_sheaf.tex,6,sheaves
fac:I:1:no:7:item:a,FAC,7,subitem,fac:I:1:no:7,fac I 1 no 7 item a,fac I 1 no 7 item a,components/006_I_1_7_subsheaf_and_quotient_sheaf.tex:12,components/006_I_1_7_subsheaf_and_quotient_sheaf.tex:12,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/006_I_1_7_subsheaf_and_quotient_sheaf.tex,12,sheaves
fac:I:1:no:7:item:b,FAC,7,subitem,fac:I:1:no:7,fac I 1 no 7 item b,fac I 1 no 7 item b,components/006_I_1_7_subsheaf_and_quotient_sheaf.tex:13,components/006_I_1_7_subsheaf_and_quotient_sheaf.tex:13,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/006_I_1_7_subsheaf_and_quotient_sheaf.tex,13,sheaves
fac:I:1:no:8,FAC,8,numbered_paragraph,fac:I:1,8. Homomorphisms.,8. Homomorphisms.,components/007_I_1_8_homomorphisms.tex:6,components/007_I_1_8_homomorphisms.tex:6,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/007_I_1_8_homomorphisms.tex,6,
fac:I:1:no:8:prop:7,FAC,8,proposition,fac:I:1:no:8,extsc Proposition 7.,extsc Proposition 7.,components/007_I_1_8_homomorphisms.tex:12,components/007_I_1_8_homomorphisms.tex:12,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/007_I_1_8_homomorphisms.tex,12,ext
fac:I:1:no:9,FAC,9,numbered_paragraph,fac:I:1,9. Direct sum of two sheaves.,9. Direct sum of two sheaves.,components/008_I_1_9_direct_sum.tex:6,components/008_I_1_9_direct_sum.tex:6,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/008_I_1_9_direct_sum.tex,6,
fac:I:1:no:10,FAC,10,numbered_paragraph,fac:I:1,10. Tensor product of two sheaves.,10. Tensor product of two sheaves.,components/009_I_1_10_tensor_product.tex:6,components/009_I_1_10_tensor_product.tex:6,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/009_I_1_10_tensor_product.tex,6,
fac:I:1:no:10:prop:8,FAC,10,proposition,fac:I:1:no:10,extsc Proposition 8.,extsc Proposition 8.,components/009_I_1_10_tensor_product.tex:12,components/009_I_1_10_tensor_product.tex:12,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/009_I_1_10_tensor_product.tex,12,ext
fac:I:1:no:11,FAC,11,numbered_paragraph,fac:I:1,11. Sheaf of germs of homomorphisms from one sheaf to another.,11. Sheaf of germs of homomorphisms from one sheaf to another.,components/010_I_1_11_and_I_2_12_definitions.tex:6,components/010_I_1_11_and_I_2_12_definitions.tex:6,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/010_I_1_11_and_I_2_12_definitions.tex,6,sheaves
fac:I:2,FAC,fac:I:2,section,fac:I,2. Coherent sheaves of modules,2. Coherent sheaves of modules,components/010_I_1_11_and_I_2_12_definitions.tex:55,components/010_I_1_11_and_I_2_12_definitions.tex:55,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/010_I_1_11_and_I_2_12_definitions.tex,55,coherent
fac:I:2:no:12,FAC,12,numbered_paragraph,fac:I:2,12. Definitions.,12. Definitions.,components/010_I_1_11_and_I_2_12_definitions.tex:62,components/010_I_1_11_and_I_2_12_definitions.tex:62,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/010_I_1_11_and_I_2_12_definitions.tex,62,
fac:I:2:no:12:def:1,FAC,12,definition,fac:I:2:no:12,extsc Definition 1.,extsc Definition 1.,components/010_I_1_11_and_I_2_12_definitions.tex:71,components/010_I_1_11_and_I_2_12_definitions.tex:71,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/010_I_1_11_and_I_2_12_definitions.tex,71,ext
fac:I:2:no:12:prop:1,FAC,12,proposition,fac:I:2:no:12,extsc Proposition 1.,extsc Proposition 1.,components/010_I_1_11_and_I_2_12_definitions.tex:76,components/010_I_1_11_and_I_2_12_definitions.tex:76,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/010_I_1_11_and_I_2_12_definitions.tex,76,ext
fac:I:2:no:12:def:2,FAC,12,definition,fac:I:2:no:12,extsc Definition 2.,extsc Definition 2.,components/010_I_1_11_and_I_2_12_definitions.tex:85,components/010_I_1_11_and_I_2_12_definitions.tex:85,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/010_I_1_11_and_I_2_12_definitions.tex,85,ext
fac:I:2:no:12:def:2:item:a,FAC,12,definition,fac:I:2:no:12:def:2,fac I 2 no 12 def 2 item a,fac I 2 no 12 def 2 item a,components/010_I_1_11_and_I_2_12_definitions.tex:89,components/010_I_1_11_and_I_2_12_definitions.tex:89,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/010_I_1_11_and_I_2_12_definitions.tex,89,
fac:I:2:no:12:def:2:item:b,FAC,12,definition,fac:I:2:no:12:def:2,fac I 2 no 12 def 2 item b,fac I 2 no 12 def 2 item b,components/010_I_1_11_and_I_2_12_definitions.tex:90,components/010_I_1_11_and_I_2_12_definitions.tex:90,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/010_I_1_11_and_I_2_12_definitions.tex,90,
fac:I:2:no:12:prop:2,FAC,12,proposition,fac:I:2:no:12,extsc Proposition 2.,extsc Proposition 2.,components/010_I_1_11_and_I_2_12_definitions.tex:95,components/010_I_1_11_and_I_2_12_definitions.tex:95,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/010_I_1_11_and_I_2_12_definitions.tex,95,ext
fac:I:2:no:12:prop:3,FAC,12,proposition,fac:I:2:no:12,extsc Proposition 3.,extsc Proposition 3.,components/010_I_1_11_and_I_2_12_definitions.tex:100,components/010_I_1_11_and_I_2_12_definitions.tex:100,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/010_I_1_11_and_I_2_12_definitions.tex,100,ext
fac:I:2:no:13,FAC,13,numbered_paragraph,fac:I:2,13. Main properties of coherent sheaves.,13. Main properties of coherent sheaves.,components/011_I_2_13_main_properties.tex:6,components/011_I_2_13_main_properties.tex:6,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/011_I_2_13_main_properties.tex,6,coherent
fac:I:2:no:13:thm:1,FAC,13,theorem,fac:I:2:no:13,extsc Theorem 1.,extsc Theorem 1.,components/011_I_2_13_main_properties.tex:9,components/011_I_2_13_main_properties.tex:9,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/011_I_2_13_main_properties.tex,9,ext
fac:I:2:no:13:thm:1:cor,FAC,13,theorem,fac:I:2:no:13:thm:1,extsc Corollary.,extsc Corollary.,components/011_I_2_13_main_properties.tex:40,components/011_I_2_13_main_properties.tex:40,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/011_I_2_13_main_properties.tex,40,ext
fac:I:2:no:13:thm:2,FAC,13,theorem,fac:I:2:no:13,extsc Theorem 2.,extsc Theorem 2.,components/011_I_2_13_main_properties.tex:43,components/011_I_2_13_main_properties.tex:43,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/011_I_2_13_main_properties.tex,43,ext
fac:I:2:no:13:thm:2:cor,FAC,13,theorem,fac:I:2:no:13:thm:2,extsc Corollary.,extsc Corollary.,components/011_I_2_13_main_properties.tex:58,components/011_I_2_13_main_properties.tex:58,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/011_I_2_13_main_properties.tex,58,ext
fac:I:2:no:14,FAC,14,numbered_paragraph,fac:I:2,14. Operations on coherent sheaves.,14. Operations on coherent sheaves.,components/012_I_2_14_operations_on_coherent_sheaves.tex:6,components/012_I_2_14_operations_on_coherent_sheaves.tex:6,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/012_I_2_14_operations_on_coherent_sheaves.tex,6,coherent
fac:I:2:no:14:prop:4,FAC,14,proposition,fac:I:2:no:14,extsc Proposition 4.,extsc Proposition 4.,components/012_I_2_14_operations_on_coherent_sheaves.tex:11,components/012_I_2_14_operations_on_coherent_sheaves.tex:11,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/012_I_2_14_operations_on_coherent_sheaves.tex,11,coherent;ext
fac:I:2:no:14:prop:5,FAC,14,proposition,fac:I:2:no:14,extsc Proposition 5.,extsc Proposition 5.,components/012_I_2_14_operations_on_coherent_sheaves.tex:22,components/012_I_2_14_operations_on_coherent_sheaves.tex:22,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/012_I_2_14_operations_on_coherent_sheaves.tex,22,coherent;ext
fac:I:2:no:14:prop:6,FAC,14,proposition,fac:I:2:no:14,extsc Proposition 6.,extsc Proposition 6.,components/012_I_2_14_operations_on_coherent_sheaves.tex:43,components/012_I_2_14_operations_on_coherent_sheaves.tex:43,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/012_I_2_14_operations_on_coherent_sheaves.tex,43,coherent;ext
fac:I:2:no:15,FAC,15,numbered_paragraph,fac:I:2,15. Coherent sheaves of rings.,15. Coherent sheaves of rings.,components/013_I_2_15_coherent_sheaves_of_rings.tex:7,components/013_I_2_15_coherent_sheaves_of_rings.tex:7,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/013_I_2_15_coherent_sheaves_of_rings.tex,7,coherent
fac:I:2:no:15:def:3,FAC,15,definition,fac:I:2:no:15,extsc Definition 3.,extsc Definition 3.,components/013_I_2_15_coherent_sheaves_of_rings.tex:12,components/013_I_2_15_coherent_sheaves_of_rings.tex:12,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/013_I_2_15_coherent_sheaves_of_rings.tex,12,coherent;ext
fac:I:2:no:15:example:1,FAC,15,example,fac:I:2:no:15,fac I 2 no 15 example 1,fac I 2 no 15 example 1,components/013_I_2_15_coherent_sheaves_of_rings.tex:15,components/013_I_2_15_coherent_sheaves_of_rings.tex:15,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/013_I_2_15_coherent_sheaves_of_rings.tex,15,coherent
fac:I:2:no:15:example:2,FAC,15,example,fac:I:2:no:15,fac I 2 no 15 example 2,fac I 2 no 15 example 2,components/013_I_2_15_coherent_sheaves_of_rings.tex:17,components/013_I_2_15_coherent_sheaves_of_rings.tex:17,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/013_I_2_15_coherent_sheaves_of_rings.tex,17,coherent
fac:I:2:no:15:prop:7,FAC,15,proposition,fac:I:2:no:15,extsc Proposition 7.,extsc Proposition 7.,components/013_I_2_15_coherent_sheaves_of_rings.tex:21,components/013_I_2_15_coherent_sheaves_of_rings.tex:21,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/013_I_2_15_coherent_sheaves_of_rings.tex,21,coherent;ext
fac:I:2:no:15:prop:8,FAC,15,proposition,fac:I:2:no:15,extsc Proposition 8.,extsc Proposition 8.,components/013_I_2_15_coherent_sheaves_of_rings.tex:26,components/013_I_2_15_coherent_sheaves_of_rings.tex:26,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/013_I_2_15_coherent_sheaves_of_rings.tex,26,coherent;ext
fac:I:2:no:15:prop:8:cor,FAC,15,proposition,fac:I:2:no:15:prop:8,extsc Corollary.,extsc Corollary.,components/013_I_2_15_coherent_sheaves_of_rings.tex:31,components/013_I_2_15_coherent_sheaves_of_rings.tex:31,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/013_I_2_15_coherent_sheaves_of_rings.tex,31,coherent;ext
fac:I:2:no:15:prop:9,FAC,15,proposition,fac:I:2:no:15,extsc Proposition 9.,extsc Proposition 9.,components/013_I_2_15_coherent_sheaves_of_rings.tex:36,components/013_I_2_15_coherent_sheaves_of_rings.tex:36,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/013_I_2_15_coherent_sheaves_of_rings.tex,36,coherent;ext
fac:I:2:no:16,FAC,16,numbered_paragraph,fac:I:2,16. Change of rings.,16. Change of rings.,components/014_I_2_16_change_of_rings.tex:6,components/014_I_2_16_change_of_rings.tex:6,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/014_I_2_16_change_of_rings.tex,6,sheaf-modules
fac:I:2:no:16:thm:3,FAC,16,theorem,fac:I:2:no:16,extsc Theorem 3.,extsc Theorem 3.,components/014_I_2_16_change_of_rings.tex:11,components/014_I_2_16_change_of_rings.tex:11,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/014_I_2_16_change_of_rings.tex,11,ext;sheaf-modules
fac:I:2:no:17,FAC,17,numbered_paragraph,fac:I:2,17. Extension and restriction of a coherent sheaf.,17. Extension and restriction of a coherent sheaf.,components/015_I_2_17_extension_and_restriction.tex:6,components/015_I_2_17_extension_and_restriction.tex:6,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/015_I_2_17_extension_and_restriction.tex,6,coherent;ext;sheaves
fac:I:2:no:17:prop:10,FAC,17,proposition,fac:I:2:no:17,extsc Proposition 10.,extsc Proposition 10.,components/015_I_2_17_extension_and_restriction.tex:11,components/015_I_2_17_extension_and_restriction.tex:11,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/015_I_2_17_extension_and_restriction.tex,11,ext
fac:I:2:no:17:prop:10:proof,FAC,17,proposition,fac:I:2:no:17:prop:10,fac I 2 no 17 prop 10 proof,fac I 2 no 17 prop 10 proof,components/015_I_2_17_extension_and_restriction.tex:14,components/015_I_2_17_extension_and_restriction.tex:14,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/015_I_2_17_extension_and_restriction.tex,14,ext
fac:I:2:no:17:prop:11,FAC,17,proposition,fac:I:2:no:17,extsc Proposition 11.,extsc Proposition 11.,components/015_I_2_17_extension_and_restriction.tex:19,components/015_I_2_17_extension_and_restriction.tex:19,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/015_I_2_17_extension_and_restriction.tex,19,ext
fac:I:2:no:17:prop:11:cor,FAC,17,proposition,fac:I:2:no:17:prop:11,extsc Corollary.,extsc Corollary.,components/015_I_2_17_extension_and_restriction.tex:24,components/015_I_2_17_extension_and_restriction.tex:24,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/015_I_2_17_extension_and_restriction.tex,24,ext
fac:I:3,FAC,fac:I:3,section,fac:I,3. Cohomology of a space with coefficients in a sheaf,3. Cohomology of a space with coefficients in a sheaf,components/016_I_3_18_cochains_of_a_covering.tex:5,components/016_I_3_18_cochains_of_a_covering.tex:5,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/016_I_3_18_cochains_of_a_covering.tex,5,cech;cohomology;sheaves
fac:I:3:no:18,FAC,18,numbered_paragraph,fac:I:3,18. Cochains of a covering.,18. Cochains of a covering.,components/016_I_3_18_cochains_of_a_covering.tex:11,components/016_I_3_18_cochains_of_a_covering.tex:11,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/016_I_3_18_cochains_of_a_covering.tex,11,cech;cohomology
fac:I:3:no:18:alternating:item:a,FAC,18,subitem,fac:I:3:no:18,fac I 3 no 18 alternating item a,fac I 3 no 18 alternating item a,components/016_I_3_18_cochains_of_a_covering.tex:26,components/016_I_3_18_cochains_of_a_covering.tex:26,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/016_I_3_18_cochains_of_a_covering.tex,26,cech;cohomology
fac:I:3:no:18:alternating:item:b,FAC,18,subitem,fac:I:3:no:18,fac I 3 no 18 alternating item b,fac I 3 no 18 alternating item b,components/016_I_3_18_cochains_of_a_covering.tex:28,components/016_I_3_18_cochains_of_a_covering.tex:28,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/016_I_3_18_cochains_of_a_covering.tex,28,cech;cohomology
fac:I:3:no:19,FAC,19,numbered_paragraph,fac:I:3,19. Simplicial operations.,19. Simplicial operations.,components/017_I_3_19_simplicial_operations.tex:7,components/017_I_3_19_simplicial_operations.tex:7,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/017_I_3_19_simplicial_operations.tex,7,
fac:I:3:no:19:simplicial-endomorphism:item:i,FAC,19,subitem,fac:I:3:no:19,fac I 3 no 19 simplicial-endomorphism item i,fac I 3 no 19 simplicial-endomorphism item i,components/017_I_3_19_simplicial_operations.tex:20,components/017_I_3_19_simplicial_operations.tex:20,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/017_I_3_19_simplicial_operations.tex,20,
fac:I:3:no:19:simplicial-endomorphism:item:ii,FAC,19,subitem,fac:I:3:no:19,fac I 3 no 19 simplicial-endomorphism item ii,fac I 3 no 19 simplicial-endomorphism item ii,components/017_I_3_19_simplicial_operations.tex:22,components/017_I_3_19_simplicial_operations.tex:22,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/017_I_3_19_simplicial_operations.tex,22,
fac:I:3:no:20,FAC,20,numbered_paragraph,fac:I:3,20. The cochain complexes.,20. The cochain complexes.,components/018_I_3_20_cochain_complexes.tex:7,components/018_I_3_20_cochain_complexes.tex:7,B8C6508249308F5D8BC886B9E6360F1EC4FDC8F0F18EFAA03EE0E36B591551CA,components/018_I_3_20_cochain_complexes.tex,7,cech;cohomology
