canonical_defect_id,canonical_operation_id,authority_sha256,source_file,source_locator,lease,local_id,classification,exact_source,proposed_correction,target_locator,disposition,rationale
INJECTIVES-CH19-D016,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:1758,C,INJECTIVES-C-D006,prose_grammar,a functorial injective embeddings,functorial injective embeddings,injectives.part-c.fr.tex:437,translated_intended_sense,Number and article disagreement only.
INJECTIVES-CH19-D017,INJECTIVES-CH19-OP003,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:1794,C,INJECTIVES-C-D007,mathematical_argument,J^bullet(M),d^n_{J^\bullet(M^\bullet)},injectives.part-c.fr.tex:475,emended,The defined functor takes the complex M^bullet as argument.
INJECTIVES-CH19-D018,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:1869,C,INJECTIVES-C-D008,prose_grammar,varphi factor through,varphi factors through,injectives.part-c.fr.tex:549,translated_intended_sense,English third-person agreement only.
INJECTIVES-CH19-D019,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:1882,C,INJECTIVES-C-D009,prose_grammar,w factor through,w factors through,injectives.part-c.fr.tex:561,translated_intended_sense,English third-person agreement only.
INJECTIVES-CH19-D020,INJECTIVES-CH19-OP004,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:1883,C,INJECTIVES-C-D010,mathematical_type,T^n_{alpha'}(M^bullet),$\mathbf{T}_{\alpha'}(M^\bullet)$,injectives.part-c.fr.tex:562,emended,"A complex morphism factors through the whole complex, not one degree."
INJECTIVES-CH19-D021,INJECTIVES-CH19-OP005,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:1920,C,INJECTIVES-C-D011,mathematical_variance,F : A -> Ab,$F : \mathcal{A}^{opp} \to \textit{Ab}$,injectives.part-c.fr.tex:601,emended,F remains contravariant after acquiring its group-valued structure.
INJECTIVES-CH19-D022,,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:1956,C,INJECTIVES-C-D012,prose_capitalization,in other words,In other words,injectives.part-c.fr.tex:640,translated_intended_sense,Sentence-initial capitalization only.
INJECTIVES-CH19-D023,INJECTIVES-CH19-OP006,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:2149,D,INJECTIVES-D-001,typed-composition-error,alpha^p o alpha^{p'p} = alpha^{p'},$\alpha^{p'} \circ \alpha^{p p'} = \alpha^p$,injectives.part-d.fr.tex:48,emended_in_french,The transition map is I^p -> I^{p'} and must then be composed with I^{p'} -> I.
INJECTIVES-CH19-D024,INJECTIVES-CH19-OP007,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:2206,D,INJECTIVES-D-002,index-error,"product_{p'>p} J^{p,bullet}","$I^{p, \bullet} \times \prod_{p' > p} J^{p', \bullet}$",injectives.part-d.fr.tex:105,emended_in_french,The index p' must vary in the product defined two lines above.
INJECTIVES-CH19-D025,INJECTIVES-CH19-OP008,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:2214,D,INJECTIVES-D-003,typed-composition-error,"alpha^{p+1,p} o alpha^{p,p'}",$\alpha^{pp'} \circ \alpha^{p + 1p} = \alpha^{p + 1p'}$,injectives.part-d.fr.tex:113,emended_in_french,The printed composite is not typed; inclusion of filtrations uses I^{p+1} -> I^p -> I^{p'}.
INJECTIVES-CH19-D026,INJECTIVES-CH19-OP009,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:2410,D,INJECTIVES-D-004,typed-composition-error,varphi^i = delta o varphi^{i-1},$\varphi^i = \varphi^{i - 1} \circ \delta$,injectives.part-d.fr.tex:304,emended_in_french,Delta has codomain G^{i-1}; the corrected order gives G^i -> I.
INJECTIVES-CH19-D027,INJECTIVES-CH19-OP010,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:2578,D,INJECTIVES-D-005,wrong-set-reference,"pair (A_i,f_i) in E","an element $(A_i, f_i)$ of $I$",injectives.part-d.fr.tex:460,emended_in_french,E contains objects only; I is the coproduct whose elements are the pairs.
INJECTIVES-CH19-D028,INJECTIVES-CH19-OP011,B1367E48800C53D72C495D386EEF2D4D6C400652F9D00E69F664F17418D26520,injectives.tex,injectives.tex:2786,D,INJECTIVES-D-006,unbalanced-expression,H(F(RG(A)),H(F(RG(A))) \\,injectives.part-d.fr.tex:665,emended_in_french,The outer H parenthesis is missing in the align environment.
