locator_id,unit_id,parsed_page,printed_page,source_receipt,source_receipt_sha256,page_gate,page_gate_sha256,evidence_id,decision_id,notes,supersedes
L000011,ega:I.3.5.7,I:114,I:116,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P116_VALIDATION_R39.json,083D997689E74C8E7610C0894F978E643753D73DCCA4D8BB61B1FBA17A72339A,EG-EGA-I-P116-FR-357-PROPOSITION-001,D000121,Unit begins on direct-French p.116,
L000012,ega:I.3.5.7:proof,I:114,I:116,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P116_VALIDATION_R39.json,083D997689E74C8E7610C0894F978E643753D73DCCA4D8BB61B1FBA17A72339A,EG-EGA-I-P116-FR-357-PROPOSITION-001,D000121,Proof begins on direct-French p.116,
L000013,ega:I.3.5.8,I:114,I:116,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P116_VALIDATION_R39.json,083D997689E74C8E7610C0894F978E643753D73DCCA4D8BB61B1FBA17A72339A,EG-EGA-I-P116-FR-358-PROPOSITION-001,D000121,Unit begins on direct-French p.116,
L000014,ega:I.3.5.8:proof,I:114,I:116,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P116_VALIDATION_R39.json,083D997689E74C8E7610C0894F978E643753D73DCCA4D8BB61B1FBA17A72339A,EG-EGA-I-P116-FR-358-PROPOSITION-001,D000121,Proof begins on direct-French p.116,
L000015,ega:I.3.5.9,I:114,I:116,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P116_VALIDATION_R39.json,083D997689E74C8E7610C0894F978E643753D73DCCA4D8BB61B1FBA17A72339A,EG-EGA-I-P116-FR-359-COROLLARY-001,D000121,Unit begins on direct-French p.116,
L000016,ega:I.3.5.9:proof,I:114,I:116,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P116_VALIDATION_R39.json,083D997689E74C8E7610C0894F978E643753D73DCCA4D8BB61B1FBA17A72339A,EG-EGA-I-P116-FR-359-COROLLARY-001,D000121,Proof begins on direct-French p.116,
L000017,ega:I.3.5.10,I:114,I:116,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P116_VALIDATION_R39.json,083D997689E74C8E7610C0894F978E643753D73DCCA4D8BB61B1FBA17A72339A,EG-EGA-I-P116-FR-3510-PARTIAL-001,D000121,Unit first begins on direct-French p.116,
L000018,ega:I.3.5.10:proof,I:114,I:116,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P116_VALIDATION_R39.json,083D997689E74C8E7610C0894F978E643753D73DCCA4D8BB61B1FBA17A72339A,EG-EGA-I-P116-FR-3510-PARTIAL-001,D000121,Proof first begins on direct-French p.116,
L000019,ega:section:I.4,,I:119,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P119_VALIDATION_R42.json,B82C5D63AF34111BBE4D94700582770A36CFF1A005E76C8C088E960421DE83CC,EG-EGA-I-P119-FR-SECTION4-FILE-BOUNDARY-001,D000142,Frozen discovery unit has no page locator and direct French begins section 4 on p.119,
L000020,ega:subsection:I.4.1,,I:119,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P119_VALIDATION_R42.json,B82C5D63AF34111BBE4D94700582770A36CFF1A005E76C8C088E960421DE83CC,EG-EGA-I-P119-FR-SECTION4-FILE-BOUNDARY-001,D000142,Frozen discovery unit has no page locator and direct French begins subsection 4.1 on p.119,
L000021,ega:I.4.1.1,,I:119,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P119_VALIDATION_R42.json,B82C5D63AF34111BBE4D94700582770A36CFF1A005E76C8C088E960421DE83CC,EG-EGA-I-P119-FR-411-QUASICOHERENCE-001,D000142,Frozen discovery unit has no page locator and direct French begins 4.1.1 on p.119,
L000022,ega:I.4.1.2,,I:119,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P119_VALIDATION_R42.json,B82C5D63AF34111BBE4D94700582770A36CFF1A005E76C8C088E960421DE83CC,EG-EGA-I-P119-FR-412-PROPOSITION-001,D000142,Frozen discovery unit has no page locator and direct French begins 4.1.2 on p.119,
L000023,ega:I.4.1.2:proof,,I:120,F8.json,2137BF64B9BD210176B58075DBDB58E7C8A5669F9EFAD61410510A01D32D0BC0,EGA1_CHAPTER1_P120_VALIDATION_R43.json,4721AB517C81B0770246C1F1CC1A4FF1C579FB50A0392A767E83DD9B51F5EF20,EG-EGA-I-P120-FR-412-PROOF-001,D000142,Frozen discovery proof has no page locator and direct French proof begins on p.120,
L000024,ega:section:I.5,,I:127,F33.json,2652207F96F697935BC81C5D63B292DE4D956905D69CB92572225E320BB27F4C,EGA1_CHAPTER1_P127_VALIDATION_R50.json,D631DC20C4EF98C822AA61FF29A02176382A23E40077C1D36338FE359E80EA25,EG-EGA-I-P127-FR-SECTION5-511-ADMISSION-001,D000181,Frozen discovery section has no page locator and direct French begins section 5 on p.127,
L000025,ega:subsection:I.5.1,,I:127,F33.json,2652207F96F697935BC81C5D63B292DE4D956905D69CB92572225E320BB27F4C,EGA1_CHAPTER1_P127_VALIDATION_R50.json,D631DC20C4EF98C822AA61FF29A02176382A23E40077C1D36338FE359E80EA25,EG-EGA-I-P127-FR-SECTION5-511-ADMISSION-001,D000181,Frozen discovery subsection has no page locator and direct French begins subsection 5.1 on p.127,
L000026,ega:I.5.1.1,,I:127,F33.json,2652207F96F697935BC81C5D63B292DE4D956905D69CB92572225E320BB27F4C,EGA1_CHAPTER1_P127_VALIDATION_R50.json,D631DC20C4EF98C822AA61FF29A02176382A23E40077C1D36338FE359E80EA25,EG-EGA-I-P127-FR-SECTION5-511-ADMISSION-001,D000181,Frozen discovery statement has no page locator and direct French places all of 5.1.1 on p.127,
L000027,ega:I.5.1.1:proof,,I:128,F33.json,2652207F96F697935BC81C5D63B292DE4D956905D69CB92572225E320BB27F4C,EGA1_CHAPTER1_P128_VALIDATION_R51.json,94F833E316F3726489EEF9254871BB55B12EBA691B7BFEAF918F76C285A7DE41,EG-EGA-I-P128-FR-ADMISSION-001,D000181,Frozen discovery proof has no page locator because begin-proof precedes the page marker and all proof text begins on p.128,
