qa_id,item_id,item_kind,source_unit,a_record,a_pdf_sha256,a_pdf_bytes,a_page1,a_box_pt,a_file,a_bytes,a_sha256,a_dpi,f_record,f_pdf_sha256,f_pdf_bytes,f_page1,f_box_pt,f_file,f_bytes,f_sha256,f_dpi,e_record,e_pdf_sha256,e_pdf_bytes,e_page1,e_box_pt,e_file,e_bytes,e_sha256,e_dpi,profile,mask,signature,difference,status,decision_id,supersedes
V000012,ega:I.3.5.3:diagram:xymatrix:1,diagram,ega:I.3.5.3:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,114,265;298;70;42,qa/a/d10.png,135836,A28C51E5DFED854E5FDF472B16804CA959539258D2CD4C2D7D2D2B36D864C418,5000,zenodo:21859616/00_FR.pdf,1D4332295C2F572B7D555B05E9A5786632BA9DCB9F329CEAF448CAFC2BDEC6C7,1974323,79,254;77;87;53,qa/f/d10.png,331260,A6F63AA62278C2ECB71F4CD0692B49F5FFAFA7090F41608D325958E444766C2E,5000,zenodo:21859616/00_EN.pdf,C70C13635EC53C10A2E1866EAB3BC9CA1B6F6601DCA8B344342DA901A70A0257,14589396,308,260;575;93;67,qa/e/d10.png,357419,BE88C7336EA82154A95837CAEC2C0B13E58D32A27017686EE04D9F698C1CA476,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,Spec(K')->X;X->Y[f];Spec(K')->Spec(K);Spec(K)->Y;ordinary;no-hooks;no-equalities;no-other-edges,english-trailing-period-only,certified,D000154,
V000013,ega:I.3.5.5:diagram:xymatrix:1,diagram,ega:I.3.5.5:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,114,263;582;79;62,qa/a/d11.png,188456,AC6D6F92B779575E80A5A335438F4266C2BD6EFC0647032EAA0BE1D224BE431C,5000,zenodo:21859616/00_FR.pdf,1D4332295C2F572B7D555B05E9A5786632BA9DCB9F329CEAF448CAFC2BDEC6C7,1974323,79,251;315;92;60,qa/f/d11.png,406528,20EB2F5DF8C2576749A595547DB893FCE8F5A3092D0B9B3C7621C061690BACB0,5000,zenodo:21859616/00_EN.pdf,C70C13635EC53C10A2E1866EAB3BC9CA1B6F6601DCA8B344342DA901A70A0257,14589396,309,259;214;94;68.5,qa/e/d11.png,428023,FB5A1ED19FC329DC4BA4350D090717BACBCF82D24B28C1385DC9CF456A104EEC,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,X(K)->Y(K)[alpha];X(K)->X(K')[phi];Y(K)->Y(K')[phi'];X(K')->Y(K')[alpha'];ordinary;no-hooks;no-equalities;no-other-edges,none,certified,D000154,
V000014,ega:I.3.5.10:diagram:xymatrix:1,diagram,ega:I.3.5.10:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,116,255;82;77;45,qa/a/d12.png,151034,AEE935E2A3198E6E7B3D1CC5926533E5BC3DCA98246927C8E9837A726342BBC6,5000,zenodo:21859616/00_FR.pdf,1D4332295C2F572B7D555B05E9A5786632BA9DCB9F329CEAF448CAFC2BDEC6C7,1974323,80,251;154;92;54,qa/f/d12.png,345023,3D5ECCB620C92221D01E82065E983F84DE60881FF4E63E6F4E21C22C7F7DCD36,5000,zenodo:21859616/00_EN.pdf,C70C13635EC53C10A2E1866EAB3BC9CA1B6F6601DCA8B344342DA901A70A0257,14589396,310,259;151;94;66,qa/e/d12.png,361805,5BA25A7E18B688AE622B95B4205199E5A40537F8A9677D5D301ED66EECEB6CF9,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,X'(K)->Y'(K);X'(K)->X(K);Y'(K)->Y(K);X(K)->Y(K);ordinary;no-hooks;no-equalities;no-other-edges,none,certified,D000154,
V000015,ega:I.4.2.2:diagram:xymatrix:1,diagram,ega:I.4.2.2:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,122,238;178;128;72,qa/a/v000015.png,177353,4F7AF7FC771985F3553AE1B310FB7883CCD9BC791B05084961662CE9A0E1444F,5000,zenodo:21859616/00_FR.pdf,1D4332295C2F572B7D555B05E9A5786632BA9DCB9F329CEAF448CAFC2BDEC6C7,1974323,84,231;198;162;73,qa/f/v000015.png,388385,ED8B2BFD003DD64A2D24B26746E6E5FF91BEC85991C9929F1702F0AD28E37FA2,5000,zenodo:21859616/00_EN.pdf,C70C13635EC53C10A2E1866EAB3BC9CA1B6F6601DCA8B344342DA901A70A0257,14589396,314,226;603;159;77,qa/e/v000015.png,409414,F7B0885D7BA488272E2B787342592974EF5BA31B8F31C240568E70AA4E26B2FF,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,O_psi(y)->(psi_*(O_Y))_psi(y)[theta_psi(y)];O_psi(y)->(psi^*(O_X))_y[psi_y o rho_psi(y)];(psi_*(O_Y))_psi(y)->O_y[psi_y];(psi^*(O_X))_y->O_y[theta_y#];ordinary;no-hooks;no-equalities;no-other-edges,none,certified,D000160,
V000016,ega:I.5.1.5:diagram:xymatrix:1,diagram,ega:I.5.1.5:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,128,258;214;76;64,qa/a/v000016.png,70951,3D02B9E2715A27839087DADA68051F739B121203D6C858119FE62F582F683423,5000,sealed:B37AA/EGA_FR.pdf,EB1ED1685484938ACAB6361D738A27D4F9B009AD4A26D4D31B0082EDE699FD08,2004716,88,254;126;84;68,qa/f/v000016.png,137049,6848E82C9A3DB2F57470A72561BE188DC68C39F45CDC795DF1B814B01ECD5A70,5000,sealed:B231/EGA_English_Global_0_IV.pdf,51D67907A26151D685B0A496A7B02F43DBC3FFC731D4AA4854F5F4BEBA0ECD88,14589672,319,258;682;96;67,qa/e/v000016.png,145586,E73EAF002AFE645ABA20E063ED461EF59833BC37DB4FD02E40C0A3723E0F3449,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,X_red->Y_red[f_red];X_red->X;Y_red->Y;X->Y[f];ordinary;no-hooks;no-equalities;no-other-edges,none,certified,D000203,
V000017,ega:I.5.1.9:mathblock:1,mathblock,ega:I.5.1.9,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,129,176;158;226;21,qa/a/v000017.png,34842,14D385867D9FC55965A61C9F1140CCF874598B05062CFACDE25EBFB7622F6850,5000,sealed:B37AA/EGA_FR.pdf,EB1ED1685484938ACAB6361D738A27D4F9B009AD4A26D4D31B0082EDE699FD08,2004716,88,175;556;245;19,qa/f/v000017.png,149046,6F13FC4C4B764681B8FAC62D90C9083AE5DE63CE852CB5F43A553A83EBBB32A7,5000,sealed:B231/EGA_English_Global_0_IV.pdf,51D67907A26151D685B0A496A7B02F43DBC3FFC731D4AA4854F5F4BEBA0ECD88,14589672,320,228;503;156;37,qa/e/v000017.png,197950,916F82CEEA5D37194CC1502533BF76780CD495FA7C44AD772078F85B5A03AEFC,5000,mathblock-v1,terms|order|arrows|zeros|operators|primes|bars|subscripts|spacing|line_isolation,A=Gamma(X;O_X);A_0=Gamma(X_0;O_X0)=Gamma(X;O_X/J);same-terms-order;no-arrows;no-other-terms,english-I-for-J-plus-two-line-reflow-and-edition-trailing-period,certified,D000203,
V000018,ega:I.5.1.9.1:mathblock:1,mathblock,ega:I.5.1.9.1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,129,82;211;312;18,qa/a/v000018.png,39612,C2AF879B1B108C53499CD79F9679C70AE01965FF836BB7F7110D8047BECDBF4E,5000,sealed:B37AA/EGA_FR.pdf,EB1ED1685484938ACAB6361D738A27D4F9B009AD4A26D4D31B0082EDE699FD08,2004716,88,187;607;350;19,qa/f/v000018.png,153820,A16619A992788D25A041145258C9996CCD7505859C6F1E0CFBD96E82D72BBCF9,5000,sealed:B231/EGA_English_Global_0_IV.pdf,51D67907A26151D685B0A496A7B02F43DBC3FFC731D4AA4854F5F4BEBA0ECD88,14589672,320,85;568;342;20,qa/e/v000018.png,180268,B91D82ECFB62789273289C936775F251C17F1CE8DCC2CE984595BF6C524CF49B,5000,mathblock-v1,terms|order|arrows|zeros|operators|primes|bars|subscripts|spacing|line_isolation,0->Gamma(X;J)->Gamma(X;O_X)->Gamma(X;O_X/J)->0;exact;ordinary-arrows;no-other-terms,english-I-for-J-and-french-equation-number-right,certified,D000203,
V000019,ega:I.5.1.9:diagram:xymatrix:1,diagram,ega:I.5.1.9:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,129,226;352;124;48,qa/a/v000019.png,45716,B85FF19FB6CD04EA8965F60494AF408AA7B86947A66E2DFF207232E8696C3AE9,5000,sealed:B37AA/EGA_FR.pdf,EB1ED1685484938ACAB6361D738A27D4F9B009AD4A26D4D31B0082EDE699FD08,2004716,88,228;724;139;62,qa/f/v000019.png,219980,FCCD4F2C83BE65683C5A1543C84EEDF296862E05BF8C19A9C0DABE96AD62B75F,5000,sealed:B231/EGA_English_Global_0_IV.pdf,51D67907A26151D685B0A496A7B02F43DBC3FFC731D4AA4854F5F4BEBA0ECD88,14589672,320,236;680;141;65,qa/e/v000019.png,228098,BC6782056A0D5C48983D3BB65322A63EEAAD3BD39D106501D41F85CF0814A2D7,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,A->Gamma(V;O_X|V);A->A_0=A/K;Gamma(V;O_X|V)->Gamma(V;O_X0|V);A_0=A/K->Gamma(V;O_X0|V);ordinary;no-hooks;no-equalities;no-other-edges,none,certified,D000203,
V000020,ega:I.5.1.9:diagram:xymatrix:2,diagram,ega:I.5.1.9:diagram:xymatrix:2,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,129,258;421;70;69,qa/a/v000020.png,40216,7A3C96C07CE14F53AF165E299FB371C1854A2213263FBBA7A2C075E888C76CFE,5000,sealed:B37AA/EGA_FR.pdf,EB1ED1685484938ACAB6361D738A27D4F9B009AD4A26D4D31B0082EDE699FD08,2004716,89,263;83;69;64,qa/f/v000020.png,118274,A54C32D19F451DE31B94B20FF8B991D05B633FFE7EFB1A586C40699DFEBB77E7,5000,sealed:B231/EGA_English_Global_0_IV.pdf,51D67907A26151D685B0A496A7B02F43DBC3FFC731D4AA4854F5F4BEBA0ECD88,14589672,321,273;68;66;67,qa/e/v000020.png,121139,BF32C074AAC92C2B63271B8C8693C2E944ED33EA5C430B4F5209978468502E55,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,X->X_prime[f];X0_prime->X_prime[j_prime];X0->X[j];X0->X0_prime[f_0];ordinary;no-hooks;no-equalities;no-other-edges,none,certified,D000203,
V000021,ega:I.5.3.5:diagram:xymatrix:1,diagram,ega:I.5.3.5:diagram:xymatrix:1,NUMDAM:EGA_I_PMIHES_1960_4.pdf,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,31680717,131,86;574;260;70,qa/a/v000021.png,193908,F9FBC50489D3BFC589E5B4E45F446116130E9BC325D51D46EA7DB38645CD51D9,5000,sealed:B37AC/EGA_FR.pdf,16789110240CD4ED7255D4E5802E65D1E87CD8BD416DBCE9A9EA32AD8065842F,2004725,90,240;410;299;65,qa/f/v000021.png,310354,D720F4453D3477E4A0CC3DB29AC8A7CC148C3773A79BB2099829B6C577EB156B,5000,sealed:B233/EGA_English_Global_0_IV.pdf,C06C6F10634ABDE5BDC6DC652F4D12725800397BE42D503D9ACC96E992B5C0C6,14590635,322,86;575;275;65,qa/e/v000021.png,323162,04F7224A6F9B2EBF158DE4B55DF774BF2B31292DD4475797AB2EB2BEAA10E899,5000,diagram-v1,objects|edges|nonedges|directions|arrow_styles|hooks|equalities|labels|primes|bars|subscripts|geometry|label_sides,"Xx_S_Y->Xx_T_Y[(p,q)_T];Xx_S_Y->S[pi];Xx_T_Y->Sx_T_S[f_x_T_g];S->Sx_T_S[Delta_{S|T}];label-sides=top-above|left-left|right-right|bottom-above;geometry=commutative-square;ordinary;no-hooks;no-equalities;no-other-edges",french-equation-number-right-only,certified,D000220,
